Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,weekly change,monthly change,yearly change,relative_vol,rsi,symbol,sma50,sma200
2023-02-03 00:00:00-05:00,1.7100000381469727,1.75,1.7000000476837158,1.7000000476837158,17500,0,0,-0.005847947508874518,0.1724137874335654,,0.03565532387917939,50.21216941949287,SNAL,1.8479000091552735,
2023-02-06 00:00:00-05:00,1.7000000476837158,1.75,1.7000000476837158,1.7200000286102295,55200,0,0,0.005847947508874407,0.13907287382336087,,0.11246707875032584,51.45340100963731,SNAL,1.823900008201599,
2023-02-07 00:00:00-05:00,1.7100000381469727,1.7309999465942383,1.6200000047683716,1.6399999856948853,63900,0,0,0.024999975785613415,0.12328763208552229,,0.13019286833597501,46.46355260288423,SNAL,1.7997000098228455,
2023-02-08 00:00:00-05:00,1.659999966621399,1.7599999904632568,1.6100000143051147,1.7400000095367432,24100,0,0,0.011627895694091173,0.1917807973108998,,0.049102474599327046,52.64554762455399,SNAL,1.777700011730194,
2023-02-09 00:00:00-05:00,1.7599999904632568,1.7599999904632568,1.6349999904632568,1.6799999475479126,11800,0,0,-0.01176476445577379,0.1275167361040772,,0.024041875529960958,48.99023204265172,SNAL,1.7601000118255614,
2023-02-10 00:00:00-05:00,1.6200000047683716,1.6200000047683716,1.5499999523162842,1.5800000429153442,17500,0,0,-0.07058823611909537,-0.07602338732840141,,0.03565532387917939,43.56149755109504,SNAL,1.7387000107765198,
2023-02-13 00:00:00-05:00,1.597000002861023,1.6679999828338623,1.590000033378601,1.590000033378601,10500,0,0,-0.07558139131931829,-0.07558139131931829,,0.021393194327507633,44.22707289698759,SNAL,1.7185000133514405,
2023-02-14 00:00:00-05:00,1.659000039100647,1.659000039100647,1.5499999523162842,1.6100000143051147,15100,0,0,-0.018292665641127526,-0.12021859204973073,,0.03076545089003479,45.60862249803292,SNAL,1.6989000153541565,
2023-02-15 00:00:00-05:00,1.5700000524520874,1.8270000219345093,1.5700000524520874,1.7400000095367432,87000,0,0,0.0,0.0,,0.17725789585649182,53.64622604139944,SNAL,1.6823000168800355,
2023-02-16 00:00:00-05:00,1.6799999475479126,1.7899999618530273,1.6299999952316284,1.7200000286102295,36100,0,0,0.023809572804273094,-0.011494241848790776,,0.07355183954505005,52.36418536980224,SNAL,1.6669000172615052,
2023-02-17 00:00:00-05:00,1.75,2.072000026702881,1.659999966621399,2.069999933242798,176700,0,0,0.3101265044419417,0.14999999337726155,,0.3600168988257713,67.15647538952922,SNAL,1.6633000159263611,
