timestamp,open,high,low,close,volume,trade_count,vwap,weekly change,monthly change,yearly change,relative_vol,rsi
2022-08-09 04:00:00+00:00,5.8,6.075,5.78,5.98,1600233,10721,5.92295,0.04363001745200701,0.3230088495575223,,0.7140385230802411,70.80309860419027
2022-08-10 04:00:00+00:00,6.09,6.165,5.86,6.07,1304226,7413,6.066144,0.04116638078902235,0.32822757111597367,,0.5819575066898698,72.30842025759449
2022-08-11 04:00:00+00:00,6.1,6.27,5.925,5.97,1641602,11549,6.031135,0.02401372212692965,0.3092105263157896,,0.7324977472440388,68.10672348501011
2022-08-12 04:00:00+00:00,6.04,6.29,5.92,6.23,1366022,9374,6.170798,0.059523809523809534,0.3455723542116631,,0.6095314440929022,72.56969841686947
2022-08-15 04:00:00+00:00,6.24,6.37,6.145,6.16,1625134,11236,6.22855,0.05660377358490565,0.31623931623931645,,0.7251495758226986,69.7401472941111
2022-08-16 04:00:00+00:00,6.17,6.54,6.07,6.47,2474634,11949,6.310875,0.08193979933110351,0.315040650406504,,1.1042042043403362,74.48484709044425
2022-08-17 04:00:00+00:00,6.4,6.4,6.1211,6.21,1087251,8882,6.251899,0.023064250411861664,0.21764705882352953,,0.4851412877109241,65.24461388011925
2022-08-18 04:00:00+00:00,6.22,6.41,6.1101,6.37,1876443,11914,6.280276,0.06700167504187604,0.2064393939393938,,0.8372859379629446,67.88492587437757
2022-08-19 04:00:00+00:00,6.28,6.28,5.71,5.84,2059050,12506,5.881198,-0.06260032102728741,0.17979797979797962,,0.9187668426712675,53.410526267261915
2022-08-22 04:00:00+00:00,5.71,5.73,5.52,5.7,1421018,9638,5.631587,-0.07467532467532467,0.15618661257606492,,0.6340711596314024,50.35618950782818
2022-08-23 04:00:00+00:00,5.66,5.72,5.565,5.61,1068039,7886,5.624409,-0.13292117465224107,0.11752988047808777,,0.4765687185254257,48.43849315028366
2022-08-24 04:00:00+00:00,5.66,5.87,5.61,5.79,1027477,7805,5.768862,-0.06763285024154586,0.1264591439688716,,0.45846958510349234,52.34717494164571
2022-08-25 04:00:00+00:00,5.91,6.05,5.8,6.04,839238,6132,5.972014,-0.05180533751962324,0.18199608610567508,,0.37447563075678064,57.2000605707266
2022-08-26 04:00:00+00:00,5.98,5.98,5.71,5.72,1187640,9232,5.792919,-0.020547945205479423,0.07317073170731692,,0.5299357728224686,50.15876050012062
2022-08-29 04:00:00+00:00,5.59,5.77,5.56,5.66,817593,7420,5.686223,-0.007017543859649145,0.04621072088724576,,0.36481743483651663,48.94222160588636
