timestamp,open,high,low,close,volume,trade_count,vwap,weekly change,monthly change,yearly change,relative_vol,rsi,symbol
2022-08-04 04:00:00+00:00,8.61,8.72,8.435,8.5,1542128,12839,8.531718,-0.047085201793722,0.14864864864864868,,1.0074542018603838,53.81778286793596,AXL
2022-08-05 04:00:00+00:00,8.71,9.24,8.44,9.23,3139960,20012,8.97441,0.03591470258136931,0.24898511502029774,,2.051299175991572,64.67411030296786,AXL
2022-08-08 04:00:00+00:00,9.39,9.77,9.37,9.73,1816125,16056,9.638348,0.09203142536475872,0.3495145631067962,,1.1864532401679302,69.89432485847448,AXL
2022-08-09 04:00:00+00:00,9.74,9.89,9.57,9.73,1723493,13184,9.709809,0.10317460317460325,0.2538659793814433,,1.1259378370193387,69.89432485847448,AXL
2022-08-10 04:00:00+00:00,9.99,10.59,9.91,10.37,2341180,17689,10.364195,0.19745958429561195,0.33979328165374656,,1.5294655361367497,75.31044043928186,AXL
2022-08-11 04:00:00+00:00,10.56,10.83,10.51,10.72,1422479,11936,10.672848,0.26117647058823534,0.431241655540721,,0.9292889083189962,77.6757558923843,AXL
2022-08-12 04:00:00+00:00,10.84,11.11,10.64,11.1,1106614,9207,10.997952,0.2026002166847236,0.4015151515151514,,0.7229379948600421,79.92451068369701,AXL
2022-08-15 04:00:00+00:00,10.83,11.46,10.79,11.43,1771101,13221,11.339467,0.1747173689619732,0.44136191677175285,,1.157039587095966,81.65292262495566,AXL
2022-08-16 04:00:00+00:00,11.5,11.96,11.43,11.71,1836161,15937,11.766632,0.20349434737923944,0.3923900118906065,,1.199542524837215,82.9910212716174,AXL
2022-08-17 04:00:00+00:00,11.46,11.48,11.045,11.4,1215264,12222,11.301454,0.09932497589199629,0.3555291319857312,,0.7939177702302647,76.35163513784087,AXL
2022-08-18 04:00:00+00:00,11.06,11.28,11.0413,11.26,1510590,12251,11.193684,0.050373134328358216,0.33729216152019004,,0.9868507949977416,73.49214396351884,AXL
2022-08-19 04:00:00+00:00,11.1,11.12,10.93,10.98,851071,8556,10.999037,-0.0108108108108107,0.302491103202847,,0.5559947391082445,68.00640761075834,AXL
2022-08-22 04:00:00+00:00,10.64,10.71,10.04,10.13,1431960,13079,10.239516,-0.1137357830271215,0.2160864345738296,,0.9354827348287531,54.666301495155125,AXL
2022-08-23 04:00:00+00:00,10.23,10.525,10.2,10.26,1091767,12229,10.351337,-0.12382578992314275,0.23317307692307687,,0.7132386232546882,56.08513081165102,AXL
2022-08-24 04:00:00+00:00,10.26,10.58,10.19,10.39,649286,6405,10.429043,-0.08859649122807012,0.1887871853546912,,0.42417095656723774,57.51701760149231,AXL
2022-08-25 04:00:00+00:00,10.42,10.95,10.42,10.92,1002914,10858,10.808574,-0.030195381882770822,0.22421524663677128,,0.6551919966465851,62.83715923361404,AXL
2022-08-26 04:00:00+00:00,10.91,11.016,10.59,10.66,726294,7284,10.698668,-0.029143897996357082,0.19640852974186318,,0.47447938309011034,58.937875522237846,AXL
2022-08-29 04:00:00+00:00,10.48,10.7,10.34,10.59,843957,8068,10.591361,0.045409674234945685,0.18855218855218858,,0.5513472460389047,57.89621114751645,AXL
2022-08-30 04:00:00+00:00,10.75,10.75,10.245,10.43,1115345,10065,10.392911,0.016569200779727122,0.18253968253968256,,0.7286418551339253,55.48244308576676,AXL
2022-08-31 04:00:00+00:00,10.47,10.49,10.25,10.35,958090,6627,10.378666,-0.0038498556304139564,0.19515011547344097,,0.6259090012375207,54.26425615770266,AXL
2022-09-01 04:00:00+00:00,10.19,10.24,9.97,10.24,970414,12113,10.115776,-0.06227106227106227,0.2047058823529413,,0.6339601264253957,52.55556165636058,AXL
2022-09-02 04:00:00+00:00,10.44,10.44,10.025,10.09,535898,8306,10.152977,-0.053470919324577926,0.09317443120260016,,0.35009590116292294,50.232715326886414,AXL
2022-09-06 04:00:00+00:00,10.08,10.15,9.56,9.68,1133760,10853,9.703275,-0.08593012275731826,-0.005138746145940454,,0.7406721594454084,44.44977576741438,AXL
2022-09-07 04:00:00+00:00,9.63,10.07,9.55,10.06,969654,9236,9.913875,-0.03547459252157237,0.033915724563206684,,0.6334636273063771,50.17501452672931,AXL
2022-09-08 04:00:00+00:00,9.86,9.92,9.66,9.87,649701,7419,9.840075,-0.04637681159420293,-0.04821600771456125,,0.4244420712177545,47.53690180916613,AXL
2022-09-09 04:00:00+00:00,9.61,9.75,9.32,9.71,1818328,17957,9.608801,-0.05175781249999989,-0.09421641791044777,,1.1878924343247694,45.373395402866386,AXL
2022-09-12 04:00:00+00:00,9.92,10.13,9.825,10.09,887864,9275,10.022773,0.0,-0.09099099099099095,,0.5800311760635745,51.06923341045495,AXL
2022-09-13 04:00:00+00:00,9.7,9.89,9.16,9.19,2588754,19510,9.401877,-0.05061983471074383,-0.1959755030621173,,1.6912027373103116,40.34069823872717,AXL
2022-09-14 04:00:00+00:00,9.19,9.19,8.68,8.93,1996177,16815,8.8763,-0.1123260437375746,-0.23740392826643897,,1.3040791077699487,37.86587273265591,AXL
2022-09-15 04:00:00+00:00,8.84,9.25,8.74,8.96,1691248,15277,8.953278,-0.09219858156028349,-0.21403508771929824,,1.1048725553183463,38.33594630273467,AXL
2022-09-16 04:00:00+00:00,8.77,8.82,8.38,8.7,2998806,20456,8.621834,-0.1040164778578786,-0.22735346358792186,,1.959084917246902,35.80753984172514,AXL
2022-09-19 04:00:00+00:00,8.54,9.01,8.48,8.91,1701271,14422,8.840015,-0.11694747274529238,-0.1885245901639344,,1.111420464094561,39.290344388602165,AXL
2022-09-20 04:00:00+00:00,8.77,8.84,8.22,8.24,1776274,12010,8.386285,-0.10337323177366697,-0.18657453109575517,,1.1604190475468648,33.11681121439392,AXL
2022-09-21 04:00:00+00:00,8.22,8.24,7.725,7.76,2537571,20357,7.896125,-0.13101903695408734,-0.24366471734892792,,1.6577654815093534,29.53622557939984,AXL
2022-09-22 04:00:00+00:00,7.79,7.81,7.39,7.46,2278660,15470,7.498146,-0.1674107142857144,-0.2820019249278153,,1.4886219507143261,27.5325960815569,AXL
2022-09-23 04:00:00+00:00,7.2,7.33,6.95,7.18,2352398,19803,7.111317,-0.17471264367816086,-0.3424908424908425,,1.53679412444879,25.775138361264926,AXL
2022-09-26 04:00:00+00:00,7.16,7.425,7.12,7.19,1556753,11733,7.238248,-0.19304152637485972,-0.32551594746716694,,1.0170085434599192,25.956919514060576,AXL
2022-09-27 04:00:00+00:00,7.35,7.405,7.1,7.23,1262303,11378,7.232548,-0.12257281553398058,-0.3172804532577903,,0.8246477992559426,26.729904201192774,AXL
2022-09-28 04:00:00+00:00,7.28,7.57,7.23,7.43,1673069,14402,7.446856,-0.04252577319587625,-0.28763183125599234,,1.0929964270490846,30.629468803996346,AXL
2022-09-29 04:00:00+00:00,7.16,7.28,6.72,6.96,2467082,17758,6.857611,-0.06702412868632712,-0.327536231884058,,1.6117158415086943,26.99364050510844,AXL
2022-09-30 04:00:00+00:00,6.96,7.065,6.81,6.83,1461730,12337,6.904875,-0.04874651810584951,-0.3330078125,,0.9549311279513627,26.071780918508665,AXL
2022-10-03 04:00:00+00:00,7.02,7.18,6.8,7.08,1185452,12640,7.080953,-0.015299026425591111,-0.2983151635282457,,0.7744419389984462,30.95511216907405,AXL
2022-10-04 04:00:00+00:00,7.39,7.96,7.39,7.95,3362483,23220,7.751642,0.09958506224066377,-0.17871900826446274,,2.196670851598641,44.65579015947022,AXL
2022-10-05 04:00:00+00:00,7.73,8.01,7.55,7.95,2227679,16341,7.833936,0.06998654104979818,-0.20974155069582512,,1.4553166591528965,44.65579015947023,AXL
2022-10-06 04:00:00+00:00,7.91,8.105,7.865,8.02,1185818,15098,8.018069,0.15229885057471249,-0.18743667679837894,,0.7746810425215526,45.66194034386981,AXL
2022-10-07 04:00:00+00:00,7.9,7.97,7.59,7.65,1147660,9004,7.677357,0.12005856515373359,-0.21215242018537595,,0.7497528670169326,41.379742119847336,AXL
2022-10-10 04:00:00+00:00,7.54,7.58,7.23,7.42,1222797,12062,7.396453,0.04802259887005644,-0.26461843409316155,,0.7988389911033792,38.935369022520696,AXL
2022-10-11 04:00:00+00:00,7.35,7.82,7.31,7.63,1482894,10593,7.631067,-0.040251572327044016,-0.1697497279651795,,0.9687573218394012,42.287534764983,AXL
2022-10-12 04:00:00+00:00,7.66,7.805,7.53,7.65,1282089,10710,7.683015,-0.037735849056603765,-0.14333706606942886,,0.8375737618466027,42.61065369999139,AXL
2022-10-13 04:00:00+00:00,7.39,7.87,7.29,7.76,1069814,10045,7.697467,-0.032418952618453845,-0.1339285714285715,,0.6988969848865105,44.45271054074261,AXL
2022-10-14 04:00:00+00:00,7.85,7.96,7.57,7.63,689188,6801,7.660758,-0.002614379084967422,-0.12298850574712639,,0.4502384668923424,42.708027214398086,AXL
2022-10-17 04:00:00+00:00,7.91,7.95,7.605,7.77,1244654,10362,7.79331,0.047169811320754595,-0.12794612794612803,,0.813117913793365,45.20233357444579,AXL
2022-10-18 04:00:00+00:00,8.08,8.23,7.85,8.02,988684,8876,7.995692,0.051114023591087854,-0.02669902912621369,,0.6458957039312767,49.43579724851174,AXL
2022-10-19 04:00:00+00:00,7.75,7.98,7.55,7.68,1048414,9839,7.700059,0.0039215686274509665,-0.010309278350515427,,0.6849166149562504,44.41069467085765,AXL
2022-10-20 04:00:00+00:00,7.72,7.95,7.615,7.7,1091014,10135,7.741703,-0.0077319587628865705,0.03217158176943702,,0.7127466971538711,44.76636104525433,AXL
2022-10-21 04:00:00+00:00,7.78,8.005,7.71,7.98,889312,7399,7.91182,0.04587155963302769,0.11142061281337057,,0.5809771375429678,49.625660310398686,AXL
2022-10-24 04:00:00+00:00,8.09,8.57,7.955,8.55,1971166,13466,8.388975,0.10038610038610063,0.18915159944367188,,1.2877397137360358,57.770576973807096,AXL
2022-10-25 04:00:00+00:00,8.59,9.22,8.525,8.99,2002556,16245,9.010219,0.12094763092269334,0.2434301521438451,,1.3082464339281323,62.77419228263324,AXL
2022-10-26 04:00:00+00:00,9.06,9.24,8.86,8.96,1032611,10327,9.051076,0.16666666666666674,0.2059219380888293,,0.6745926997222363,62.23276377968906,AXL
2022-10-27 04:00:00+00:00,9.14,9.75,9.06,9.37,2367780,20451,9.451704,0.21688311688311668,0.34626436781609193,,1.5468430053024003,66.48699107085675,AXL
2022-10-28 04:00:00+00:00,9.37,9.7,9.335,9.65,1030433,9462,9.596685,0.2092731829573935,0.41288433382137635,,0.6731698377732594,69.05095327748849,AXL
2022-10-31 04:00:00+00:00,9.56,9.78,9.47,9.69,1099419,9297,9.689291,0.13333333333333308,0.3686440677966101,,0.7182375854372279,69.41099283691568,AXL
2022-11-01 04:00:00+00:00,9.83,9.86,9.575,9.61,1114527,10082,9.69221,0.06896551724137923,0.20880503144654083,,0.7281074652926658,67.71431985311241,AXL
2022-11-02 04:00:00+00:00,9.51,9.6,9.075,9.11,1423414,13408,9.287221,0.016741071428571175,0.14591194968553456,,0.9298997328930521,58.14753707393273,AXL
2022-11-03 04:00:00+00:00,8.91,11.19,8.895,10.8,8897225,49416,10.563102,0.1526147278548562,0.3466334164588529,,5.812453123960692,72.36119886219996,AXL
2022-11-04 04:00:00+00:00,9.67,9.88,9.1625,9.5,2822741,23580,9.410695,-0.015544041450777257,0.24183006535947715,,1.8440637101547874,56.47321469714581,AXL
2022-11-07 05:00:00+00:00,9.65,10.095,9.55,9.69,1495592,18420,9.777592,0.0,0.30592991913746626,,0.9770527768568986,57.927197980754286,AXL
